Raw Summed Score,T-Score,SE,Theta Score
8,37.9,6.1,-1.21
9,43.8,4.5,-0.62
10,47,3.9,-0.3
11,49.6,3.3,-0.04
12,51.7,2.8,0.17
13,53.5,2.5,0.35
14,55,2.3,0.5
15,56.4,2.3,0.64
16,57.7,2.3,0.77
17,58.9,2.3,0.89
18,60.2,2.3,1.02
19,61.5,2.3,1.15
20,62.9,2.3,1.29
21,64.3,2.3,1.43
22,65.6,2.3,1.56
23,67,2.4,1.7
24,68.4,2.4,1.84
25,69.8,2.4,1.98
26,71.2,2.4,2.12
27,72.6,2.4,2.26
28,73.9,2.3,2.39
29,74.3,2.3,2.53
30,76.6,2.3,2.66
31,77.9,2.4,2.79
32,79.2,2.5,2.92
33,80.6,2.6,3.06
34,82.1,2.7,3.21
35,83.7,2.7,3.37
36,85.3,2.5,3.53
37,86.6,2.2,3.66
