Raw Summed Score,T-Score,SE,Theta Score
8,38.7,6.1,-1.13
9,44.4,4.4,-0.56
10,47.3,3.8,-0.27
11,49.7,3.3,-0.03
12,51.5,3.1,0.15
13,53.2,2.8,0.32
14,54.7,2.7,0.47
15,56,2.6,0.6
16,57.2,2.6,0.72
17,58.4,2.6,0.84
18,59.6,2.6,0.96
19,60.8,2.6,1.08
20,62,2.6,1.2
21,63.1,2.6,1.31
22,64.2,2.6,1.42
23,65.3,2.6,1.53
24,66.3,2.6,1.63
25,67.3,2.6,1.73
26,68.4,2.6,1.84
27,69.4,2.6,1.94
28,70.5,2.5,2.05
29,71.5,2.5,2.15
30,72.5,2.5,2.25
31,73.5,2.5,2.35
32,74.6,2.5,2.46
33,75.7,2.6,2.57
34,76.8,2.7,2.68
35,78,2.8,2.8
36,79.3,2.9,2.93
37,80.7,3,3.07
38,82.3,3.1,3.23
39,84.1,3.1,3.41
40,85.6,2.9,3.56
