Raw Summed Score,T-Score,SE,Theta Score
8,36.6,5.6,-1.34
9,42.1,3.8,-0.79
10,44.8,3.4,-0.52
11,46.8,3,-0.32
12,48.5,2.8,-0.15
13,50,2.6,0
14,51.3,2.5,0.13
15,52.5,2.5,0.25
16,53.7,2.4,0.37
17,54.9,2.4,0.49
18,56,2.4,0.6
19,57.1,2.5,0.71
20,58.2,2.5,0.82
21,59.3,2.5,0.93
22,60.3,2.5,1.03
23,61.4,2.5,1.14
24,62.4,2.5,1.24
25,63.5,2.5,1.35
26,64.5,2.5,1.45
27,65.6,2.5,1.56
28,66.6,2.4,1.66
29,67.6,2.4,1.76
30,68.7,2.4,1.87
31,69.7,2.4,1.97
32,70.7,2.4,2.07
33,71.8,2.5,2.18
34,72.9,2.5,2.29
35,74.1,2.6,2.41
36,75.4,2.7,2.54
37,76.8,2.9,2.68
38,78.5,3.1,2.85
39,80.3,3.3,3.03
40,82.7,3.5,3.27
